timeline_id,project_id,milestone_name,planned_date,actual_date,days_delayed,delay_reason,responsible_party,status,notes
76,127,Ground Breaking,02-23-2027,,,,Contractor,Not Started,On critical path
77,41,Substantial Completion,25/08/2018,,,,Third Party,Not Started,Float available
78,41,50% Complete,2024/11/02,,,,Utility,In Progress,Permit dependent
79,383,Ground Breaking,15/02/2020,2019-05-05,-,,Third Party,Skipped,Float available
80,383,Bid Award,03/19/2019,2026-12-26,,Design changes,Engineer,NOT STARTED,
81,32,Bid Award,07/04/2025,,-329,,Owner,Complete,
82,32,Design Complete,03/20/2021,12/02/2023,987,Environmental review,Owner,Complete,On critical path
83,32,Ground Breaking,,08-10-2024,610,Right-of-way,Utility,Delayed,Permit dependent
84,32,Substantial Completion,14/11/2024,2025-10-15,335,Funding gap,Utility,In Progress,
85,32,Final Inspection,2026-10-13,10/06/2027,240,Funding gap,Utility,Delayed,
86,235,50% Complete,2024-03-29,,,,Engineer,Complete,
87,235,Project Closeout,,27/08/2019,-1980,,Contractor,Delayed,Float available
88,174,Substantial Completion,2026/02/04,12-30-2023,-767,,Regulator,Delayed,
89,174,Bid Award,01/10/2021,,,,Contractor,Skipped,Permit dependent
90,174,Final Inspection,08/29/2025,09/06/2025,8,Right-of-way,Engineer,In progress,
91,174,Project Closeout,08/31/2020,2022-06-17,655,Permitting,Contractor,In Progress,Permit dependent
92,174,Design Complete,29/08/2021,09/29/2021,31,Design changes,Utility,NOT STARTED,
93,174,50% Complete,04/04/2025,,,,Utility,Delayed,On critical path
94,118,Ground Breaking,05/01/2024,06/05/2023,-331,,Contractor,Not Started,On critical path
95,118,Environmental Review,05/05/2023,10-28-2024,542,Supply chain delays,Contractor,Delayed,On critical path
96,118,Design Complete,02/27/2022,22/12/2024,1029,,Engineer,,Float available
97,118,Bid Award,21/11/2027,,,,Contractor,Delayed,
98,118,Project Closeout,,,,,Owner,Not Started,
99,118,Substantial Completion,22/08/2019,2021/10/06,776,Permitting,Regulator,Not Started,
100,118,Final Inspection,,,,,Utility,Complete,
101,441,Substantial Completion,06-08-2022,07/10/2019,-1064,,Utility,NOT STARTED,
102,441,Environmental Review,,2022-11-01,-822,,Third Party,Delayed,Float available
103,441,Bid Award,12/09/2027,06/24/2024,?,,Utility,Not Started,
104,441,50% Complete,2027-04-01,2021-11-28,n/a,,Engineer,Delayed,Permit dependent
105,306,Environmental Review,12/10/2020,01/03/2019,-648,,Owner,Complete,
106,306,50% Complete,,03/14/2023,-1663,,Engineer,Skipped,On critical path
107,306,Project Closeout,08/15/2023,01-13-2021,-944,,Owner,Not Started,On critical path
108,306,Final Inspection,2020-10-04,09-24-2024,1451,Contractor issues,Engineer,In Progress,
109,306,Ground Breaking,03/09/2022,08-27-2027,1819,Supply chain delays,Utility,Complete,
110,306,Substantial Completion,2019/09/12,2027-12-22,3023,Right-of-way,Contractor,Not Started,
111,258,Bid Award,01/16/2023,11/08/2026,1392,,Third Party,Skipped,
112,258,Substantial Completion,2025/02/08,11/03/2024,-97,,Engineer,Not Started,
113,258,Project Closeout,02-07-2025,2023/05/29,-620,,Engineer,Delayed,On critical path
114,258,Final Inspection,04-20-2023,2020-07-10,-1014,,Regulator,Delayed,
115,258,Design Complete,03/02/2021,12-09-2026,2108,,Regulator,Skipped,On critical path
116,258,Ground Breaking,2021/08/25,,,,Regulator,Not Started,
117,258,Environmental Review,09-18-2024,,,,Owner,Not Started,
118,258,50% Complete,11-20-2026,18/02/2019,-,,Contractor,Not Started,
119,500,Bid Award,,,TBD,Funding gap,Contractor,Delayed,
120,500,Substantial Completion,06-10-2026,2019-12-25,-2359,,Utility,In Progress,
121,500,Project Closeout,08/23/2024,25/05/2022,-821,,Contractor,Not Started,
122,500,Ground Breaking,2019-09-10,2021-09-21,742,Design changes,Owner,Not Started,Float available
123,500,Environmental Review,12-14-2023,2024-08-02,232,Environmental review,Contractor,Complete,
124,500,Design Complete,05-02-2026,2026-02-09,-82,,Owner,Delayed,
125,437,Environmental Review,03/29/2022,2023-05-26,423,Permitting,Regulator,Skipped,Permit dependent
126,437,Final Inspection,06/08/2026,,-1066,,Third Party,COMPLETE,
127,451,Final Inspection,26/10/2023,2026/03/21,877,Environmental review,Regulator,Delayed,
128,451,50% Complete,19/10/2019,2025-06-14,2065,Utility conflicts,Utility,Not Started,
129,451,Project Closeout,26/10/2018,01-03-2020,434,Design changes,Engineer,Complete,Float available
130,451,Environmental Review,2020-10-11,2022/02/24,501,Labor shortage,Owner,In Progress,Permit dependent
131,451,Bid Award,,2027-07-15,,Environmental review,Owner,Not Started,
132,451,Substantial Completion,2021/10/31,04-10-2026,1622,Utility conflicts,Regulator,In progress,Float available
133,477,Design Complete,2025-10-30,,,,Engineer,Delayed,Permit dependent
134,477,Substantial Completion,2022/09/16,,,,Owner,In progress,On critical path
135,477,Environmental Review,2020/04/15,,,,Engineer,In Progress,Permit dependent
136,477,Project Closeout,2024/02/27,11-30-2018,-1915,,Contractor,Not Started,On critical path
137,477,Final Inspection,,04-29-2022,-1797,,Third Party,Complete,Float available
138,244,Final Inspection,06-18-2020,05/04/2020,-45,,Engineer,Delayed,Permit dependent
139,244,Bid Award,2026-07-14,2022-11-16,-1336,,Engineer,Complete,
140,244,Environmental Review,10/26/2024,04/04/2026,525,,Utility,Delayed,Permit dependent
141,483,Bid Award,11/08/2021,2027/03/14,,Right-of-way,Contractor,complete,Permit dependent
142,483,Design Complete,,11/10/2027,329,Contractor issues,Third Party,Skipped,Permit dependent
143,142,Design Complete,03/31/2022,09-11-2025,1260,Labor shortage,Contractor,NOT STARTED,
144,142,Ground Breaking,2021/11/15,09-02-2025,1387,Labor shortage,Regulator,Delayed,On critical path
145,56,Ground Breaking,01/07/2018,08-26-2020,787,Weather,Regulator,Not Started,
146,56,Design Complete,2022/06/01,2019/06/10,-1087,,Regulator,Skipped,Float available
147,56,Environmental Review,2020-08-17,2019/05/22,,,Engineer,Not Started,On critical path
148,137,Design Complete,08/11/2020,,,,Regulator,Delayed,
149,137,Project Closeout,10/16/2026,,,,Owner,Not Started,Permit dependent
150,137,Environmental Review,2025/10/25,07-05-2020,-1938,,Regulator,Skipped,Permit dependent
151,137,Bid Award,2021/02/07,,,,Engineer,NOT STARTED,On critical path
152,137,Ground Breaking,05/28/2019,05/03/2026,-,,Engineer,NOT STARTED,
153,137,50% Complete,2020-01-02,2018-08-25,-495,,Third Party,In Progress,
154,137,Final Inspection,08/16/2027,,,,Owner,Not Started,On critical path
155,436,Substantial Completion,08/04/2025,04/11/2023,-728,,Third Party,complete,
156,436,Bid Award,2021/01/08,2020/09/22,-108,,Owner,NOT STARTED,
157,436,Design Complete,11-04-2023,10-08-2019,-1488,,Utility,Skipped,Float available
158,436,Ground Breaking,,02-25-2023,278,Permitting,Third Party,Delayed,Float available
159,436,50% Complete,03-12-2024,2020-06-23,-1358,,Utility,,Float available
160,436,Project Closeout,09/14/2022,03-14-2019,-1280,,Utility,Not Started,Permit dependent
161,436,Final Inspection,,,1891,Supply chain delays,Utility,Delayed,Float available
162,96,Design Complete,09-09-2018,,,,Owner,In Progress,
163,96,Environmental Review,02/13/2026,06/08/2025,-250,,Contractor,In Progress,Permit dependent
164,96,Project Closeout,05/03/2025,,,,Contractor,Complete,Float available
165,96,Final Inspection,2027/05/02,26/08/2027,116,,Utility,Delayed,
166,96,Substantial Completion,14/07/2025,,,,Owner,Not Started,On critical path
167,96,Ground Breaking,04-13-2021,,,,Regulator,complete,On critical path
168,96,50% Complete,2025/12/29,,,,Third Party,Skipped,
169,222,Design Complete,07/12/2018,,,,Engineer,Skipped,Permit dependent
170,222,Environmental Review,19/09/2019,,,,Third Party,Complete,
171,222,Project Closeout,2023-07-06,,,,Utility,Not Started,
172,370,Bid Award,2026/12/17,31/08/2019,-2665,,Contractor,Delayed,On critical path
173,370,50% Complete,2019/09/13,03/10/2025,,,Owner,Delayed,
174,370,Final Inspection,13/11/2025,09/18/2021,-1517,,Contractor,Complete,On critical path
175,370,Environmental Review,09/11/2019,15/06/2022,949,Environmental review,Utility,In Progress,On critical path
176,370,Design Complete,05/06/2026,04/12/2023,-1150,,Utility,Delayed,
177,370,Project Closeout,05-29-2020,2027-09-30,2680,Utility conflicts,Engineer,Complete,
178,370,Ground Breaking,06-20-2019,08-12-2021,784,Right-of-way,Owner,Complete,Permit dependent
179,370,Substantial Completion,07/31/2018,07-04-2019,338,Design changes,Utility,Complete,Float available
180,459,Bid Award,2019/06/25,14/12/2024,1999,Weather,Utility,complete,Permit dependent
181,459,Ground Breaking,23/08/2020,,,,Owner,Skipped,
182,150,50% Complete,2019/06/22,2020-10-30,496,Permitting,Third Party,Complete,On critical path
183,150,Ground Breaking,11-18-2021,09-11-2022,297,Utility conflicts,Utility,Delayed,
184,150,Design Complete,2026/12/11,2018/08/27,-3028,,Utility,,On critical path
185,150,Environmental Review,2019-07-31,08/05/2025,2108,Funding gap,Third Party,complete,Float available
186,150,Project Closeout,05/02/2026,2026/07/11,156,Right-of-way,Third Party,NOT STARTED,
187,150,Final Inspection,2024/05/14,19/11/2021,-907,,Contractor,Skipped,
188,150,Bid Award,28/01/2022,07/25/2022,178,Contractor issues,Engineer,In Progress,
189,69,Design Complete,2018-07-02,10/29/2025,2676,Design changes,Third Party,complete,
190,69,Ground Breaking,05/29/2027,10/16/2022,,,Utility,Delayed,Permit dependent
191,304,Ground Breaking,06-26-2026,,,,Engineer,Complete,Float available
192,304,Final Inspection,12-23-2021,20/04/2022,118,Right-of-way,Contractor,Not Started,
193,304,Bid Award,2027-08-20,2018/11/07,-3208,,Contractor,Delayed,
194,304,50% Complete,01-10-2025,,,,Owner,COMPLETE,
195,304,Substantial Completion,04-23-2022,,,,Third Party,Skipped,
196,304,Project Closeout,2026-12-08,,,,Third Party,Skipped,Permit dependent
197,114,Project Closeout,2026-05-26,12-13-2024,,,Utility,Skipped,Float available
198,114,50% Complete,2022-04-12,,,,Third Party,Skipped,
199,114,Bid Award,2020/01/28,,,,Utility,NOT STARTED,
200,114,Design Complete,2025/03/01,,,,Regulator,Not Started,Permit dependent
201,114,Final Inspection,2026/12/29,04/06/2024,-997,,Engineer,Delayed,
202,114,Environmental Review,10/10/2022,,,,Contractor,Delayed,
203,114,Substantial Completion,2021-10-08,,,,Third Party,In Progress,Permit dependent
204,114,Ground Breaking,07-08-2024,,,,Contractor,Not Started,
205,16,Environmental Review,03-15-2022,2022/03/16,,Supply chain delays,Regulator,Not Started,
206,16,Final Inspection,03/07/2026,2024/06/07,-756,,Third Party,Skipped,
207,16,50% Complete,,2020-08-31,-1541,,Regulator,Skipped,Permit dependent
208,16,Ground Breaking,07/24/2027,2025-10-10,-652,,Engineer,Skipped,Float available
209,407,Final Inspection,11/08/2026,,n/a,,Regulator,In Progress,Float available
210,407,Substantial Completion,2025-10-06,,,,Owner,In Progress,Permit dependent
211,407,Project Closeout,09/02/2023,2023-07-31,172,,Contractor,In Progress,
212,407,Design Complete,07/07/2025,,,,Engineer,,Permit dependent
213,407,Bid Award,03/08/2022,11/07/2026,1557,Supply chain delays,Third Party,complete,
214,407,50% Complete,2024-04-27,,,,Third Party,Skipped,On critical path
215,193,Final Inspection,07/27/2026,06/13/2023,,,Regulator,In Progress,Permit dependent
216,193,Substantial Completion,06-02-2020,2027-08-21,,Environmental review,Utility,In Progress,Float available
217,193,Design Complete,,09/21/2026,157,Supply chain delays,Owner,Delayed,
218,193,Environmental Review,18/12/2020,09-06-2025,1723,Contractor issues,Engineer,Delayed,
219,193,Bid Award,10/07/2021,2019/09/22,-657,,Utility,Not Started,Float available
220,344,Project Closeout,26/04/2023,23/04/2027,1458,Funding gap,Engineer,Skipped,On critical path
221,344,Final Inspection,12/16/2019,2023/06/11,1273,Utility conflicts,Engineer,In Progress,
222,344,Substantial Completion,2025-11-23,05/04/2024,-597,,Owner,In progress,Permit dependent
223,344,Bid Award,12/10/2023,2025/11/15,765,Contractor issues,Engineer,Delayed,
224,411,Project Closeout,12/02/2027,13/08/2027,182,Weather,Regulator,Delayed,
225,411,Final Inspection,2026-06-05,03-12-2027,280,Design changes,Contractor,In Progress,
226,132,Ground Breaking,2024-05-16,07-03-2026,778,Right-of-way,Contractor,Not Started,
227,132,Bid Award,,16/01/2024,-467,,Utility,Delayed,On critical path
228,132,Project Closeout,04-24-2023,2027/10/24,n/a,Right-of-way,Contractor,Complete,
229,132,Final Inspection,05/10/2022,11-14-2021,-325,,Third Party,Complete,
230,132,Environmental Review,2023/11/13,2024-09-15,307,Contractor issues,Engineer,In Progress,
231,375,Ground Breaking,04-27-2019,2024-01-10,,Supply chain delays,Owner,Complete,Float available
232,375,Substantial Completion,07/02/2026,12/12/2021,-1518,,Engineer,COMPLETE,
233,196,Design Complete,2025-05-29,20/03/2024,-435,,Engineer,In Progress,Float available
234,196,50% Complete,2021-12-14,02/20/2024,798,Design changes,Regulator,Not Started,Permit dependent
235,196,Substantial Completion,2024/04/21,2021/07/08,,,Utility,Not Started,Permit dependent
236,196,Project Closeout,09/29/2021,28/08/2023,698,Environmental review,Contractor,In Progress,Permit dependent
237,196,Ground Breaking,01-12-2025,14/08/2024,-151,,Owner,Delayed,
238,196,Final Inspection,22/07/2021,05/08/2027,2116,Weather,Utility,complete,
239,196,Bid Award,2019-12-19,2018/11/03,-411,,Contractor,In progress,
240,58,Final Inspection,2018-06-06,2027-01-04,3134,Environmental review,Regulator,COMPLETE,On critical path
241,58,Substantial Completion,12/09/2026,08-15-2023,-1212,,Third Party,Skipped,
242,58,Bid Award,02/14/2027,02-09-2019,-2927,,Owner,In Progress,Float available
243,58,Design Complete,01/23/2021,,-742,,Utility,Not Started,Permit dependent
244,58,50% Complete,02/13/2023,2024-07-13,516,Weather,Engineer,In Progress,Permit dependent
245,58,Ground Breaking,2024-03-29,2020-08-09,-1328,,Owner,Skipped,
246,58,Environmental Review,2025/11/06,01/15/2023,-1026,,Contractor,Delayed,On critical path
247,145,Project Closeout,2020/12/31,,,,Third Party,Not Started,
248,145,Bid Award,03/10/2022,,,,Utility,Not Started,On critical path
249,145,Substantial Completion,2022-07-30,,,,Contractor,Complete,Float available
250,145,50% Complete,,2026-01-20,2237,Weather,Engineer,Delayed,
251,145,Ground Breaking,2021/01/19,,,,Owner,Delayed,Float available
252,145,Environmental Review,2026-09-07,,,,Utility,Not Started,
253,145,Final Inspection,07-31-2026,,,,Utility,Complete,
254,499,Substantial Completion,2020/05/06,2019-03-27,-406,,Contractor,Complete,
255,499,Final Inspection,2022/06/10,2021/01/21,-505,,Third Party,In Progress,Permit dependent
256,499,Environmental Review,2018-10-03,2021-09-06,1069,Right-of-way,Contractor,Delayed,Float available
257,260,Substantial Completion,,2022/10/24,-1632,,Engineer,Delayed,
258,260,50% Complete,,08-18-2023,,Labor shortage,Regulator,Complete,On critical path
259,260,Final Inspection,2018-08-03,10-31-2022,1550,Labor shortage,Third Party,In Progress,Float available
260,260,Environmental Review,28/03/2025,16/07/2027,840,Design changes,Regulator,Not Started,On critical path
261,260,Project Closeout,01-12-2023,,,Permitting,Owner,complete,
262,260,Design Complete,12-09-2026,2023-05-22,,,Owner,Not Started,
263,260,Ground Breaking,2020/07/20,06/09/2020,-41,,Engineer,In Progress,
264,260,Bid Award,,2026-06-30,2095,Labor shortage,Engineer,Not Started,Float available
265,376,Environmental Review,2025/09/20,2018-12-24,-2462,,Contractor,Complete,Permit dependent
266,376,Substantial Completion,11/06/2026,2021/02/02,-2103,,Owner,Skipped,Permit dependent
267,104,Final Inspection,30/12/2025,,,,Utility,Complete,
268,104,Design Complete,02/14/2024,,,,Third Party,In Progress,On critical path
269,104,Environmental Review,2021/04/15,2025/07/28,1565,Funding gap,Contractor,Complete,Permit dependent
270,104,Bid Award,11-16-2021,2020-12-11,-340,,Regulator,In Progress,
271,104,50% Complete,,,,,Contractor,Complete,Permit dependent
272,104,Ground Breaking,,,-55,,Owner,Skipped,On critical path
273,104,Project Closeout,2023-02-08,,N/A,,Utility,Skipped,Float available
274,427,Substantial Completion,2022/12/07,,,,Contractor,Complete,Float available
275,427,Ground Breaking,12/04/2021,,,,Owner,Not Started,
276,373,Final Inspection,27/11/2024,02/09/2026,439,Right-of-way,Third Party,Complete,Float available
277,373,Design Complete,,,,,Owner,In Progress,
278,373,Environmental Review,,,,,Owner,Skipped,
279,373,Bid Award,08/08/2024,,,,Regulator,Not Started,
280,373,Project Closeout,2024/02/06,,,,Engineer,In Progress,
281,373,50% Complete,10/05/2023,,,,Regulator,In Progress,
282,373,Ground Breaking,,,,,Utility,In Progress,Float available
283,445,Design Complete,26/11/2018,15/05/2020,536,Supply chain delays,Owner,Delayed,Permit dependent
284,445,Environmental Review,2021-06-19,2025-07-30,1502,Environmental review,Contractor,Complete,
285,445,Final Inspection,2019-09-25,,650,Environmental review,Contractor,Skipped,Permit dependent
286,445,Project Closeout,2020-03-24,21/08/2019,-216,,Third Party,Not Started,Float available
287,445,Bid Award,2026/05/20,02-17-2023,-1188,,Engineer,Not Started,
288,382,Ground Breaking,18/11/2023,2018-11-30,-1814,,Contractor,COMPLETE,
289,382,Design Complete,2024/04/08,2019/11/20,-1601,,Engineer,Delayed,
290,382,Project Closeout,2025/05/02,12/02/2024,-151,,Regulator,Complete,
291,382,Bid Award,10-26-2027,01-18-2024,-1377,,Third Party,Delayed,Float available
292,382,Substantial Completion,09/11/2025,2021/12/31,,,Regulator,Skipped,
293,382,Final Inspection,07/22/2027,01/11/2023,-1653,,Owner,Skipped,On critical path
294,33,Design Complete,2027/07/26,03-15-2022,-1959,,Contractor,Delayed,
295,33,Substantial Completion,2019-04-30,2023/07/28,1550,Labor shortage,Contractor,In Progress,Permit dependent
296,33,Final Inspection,04/21/2024,08-01-2018,-2090,,Third Party,In Progress,
297,33,Project Closeout,2019-01-12,2024/02/27,1872,Environmental review,Owner,Skipped,
298,33,Ground Breaking,2023-02-04,11-04-2019,-1188,,Third Party,In Progress,Float available
299,33,50% Complete,11-22-2021,12/12/2027,2211,Contractor issues,Third Party,Complete,On critical path
300,33,Bid Award,04-02-2025,05-04-2024,-333,,Utility,Not Started,On critical path
301,212,Final Inspection,2025-06-29,,,,Regulator,Delayed,
302,212,Design Complete,2026-05-31,,549,Permitting,Regulator,Not Started,
303,255,Substantial Completion,2027/05/30,,,,Regulator,COMPLETE,
304,255,Project Closeout,02/17/2021,22/08/2024,,Utility conflicts,Contractor,COMPLETE,On critical path
305,255,50% Complete,2019-06-04,,,,Third Party,Delayed,
306,255,Final Inspection,06-17-2027,,,,Owner,In Progress,
307,154,Design Complete,05/09/2018,2026/02/26,-,Labor shortage,Owner,Delayed,On critical path
308,154,Bid Award,2020-06-04,06/05/2027,2557,Funding gap,Contractor,Complete,Permit dependent
309,154,Substantial Completion,2023-03-16,11/18/2027,1708,,Regulator,Delayed,On critical path
310,154,Ground Breaking,,04/10/2023,N/A,,Utility,Not Started,On critical path
311,154,50% Complete,,11/26/2026,90,Permitting,Engineer,Skipped,On critical path
312,154,Environmental Review,2019-07-08,2027/02/27,,Labor shortage,Regulator,In Progress,On critical path
313,363,Ground Breaking,2025-09-02,08/10/2018,-2580,,Contractor,Not Started,Float available
314,363,50% Complete,03/11/2019,2021-12-23,,Utility conflicts,Owner,In Progress,
315,363,Bid Award,2026/05/11,09/13/2021,,,Third Party,,
316,363,Project Closeout,2021/02/03,12-01-2026,,Environmental review,Utility,NOT STARTED,Float available
317,363,Environmental Review,,2026-01-23,,,Regulator,Skipped,
318,363,Substantial Completion,01/27/2021,2020-12-22,-36,,Utility,Not Started,Permit dependent
319,363,Final Inspection,2023-07-30,2026-06-26,1062,Weather,Engineer,Not Started,
320,363,Design Complete,2026/11/22,2027-10-02,314,Right-of-way,Owner,Skipped,
321,371,Ground Breaking,17/06/2018,10/16/2020,852,Environmental review,Third Party,Delayed,On critical path
322,371,Project Closeout,12/03/2020,2023-04-08,1122,Labor shortage,Utility,Delayed,Permit dependent
323,371,Design Complete,2027/02/20,,-1199,,Engineer,Skipped,
324,371,50% Complete,2021/06/23,2021-06-06,-17,,Contractor,Complete,Permit dependent
325,371,Final Inspection,2021/03/07,07-02-2025,1578,Weather,Engineer,Not Started,
326,461,Project Closeout,2025-11-30,19/03/2023,-987,,Owner,Delayed,Float available
327,461,Ground Breaking,2023/05/22,,,,Utility,Not Started,
328,461,Bid Award,03/26/2023,,-1055,,Third Party,Skipped,Permit dependent
329,461,Substantial Completion,2018/12/10,,,,Third Party,Complete,
330,461,Final Inspection,2024-12-02,,,,Owner,Not Started,
331,461,Environmental Review,2022-04-16,,,,Utility,Delayed,Permit dependent
332,461,50% Complete,07/17/2018,2019/05/22,309,Supply chain delays,Third Party,Complete,Permit dependent
333,461,Design Complete,2027/09/14,,,,Owner,Skipped,Float available
334,354,Environmental Review,2023/09/22,2025-08-11,689,Supply chain delays,Owner,Complete,On critical path
335,354,Design Complete,2022/09/09,07-26-2018,-1506,,Utility,Skipped,
336,354,Final Inspection,2022/06/06,12/05/2019,?,,Owner,In Progress,
337,354,Substantial Completion,2021-08-30,2024/11/22,1180,Design changes,Contractor,Complete,
338,354,Bid Award,2023/11/22,2021-03-13,-984,,Owner,Delayed,On critical path
339,354,Project Closeout,2024/04/04,23/02/2026,690,Labor shortage,Owner,In progress,
340,354,Ground Breaking,06-24-2020,2027/06/29,2561,,Third Party,Skipped,On critical path
341,354,50% Complete,,2025/12/11,951,,Contractor,Delayed,
342,277,Ground Breaking,05/01/2022,2025-05-31,1126,Weather,Third Party,Complete,
343,277,Design Complete,2024-07-04,08-27-2025,419,Right-of-way,Owner,In progress,On critical path
